bin_start_year,bin_end_year,longitude,latitude,E_mean,E_sd,settlement_field,exchange_field,connectivity_field,production_field,is_land,dist_coast_km,in_support
-700,-675,18.5,35.5,-0.3758,0.6387,-0.1504,-1.0425,-0.5678,-0.1791,False,304.4,False
-700,-675,18.75,35.5,-0.3514,0.6268,-0.1434,-0.9717,-0.5282,-0.1639,False,323.1,False
-700,-675,19.0,35.5,-0.3245,0.6003,-0.1365,-0.8941,-0.4835,-0.1479,False,341.9,False
-700,-675,6.5,35.75,-0.3583,0.6162,-0.3036,-0.947,-0.3497,-0.1324,False,386.4,False
-700,-675,6.75,35.75,-0.3975,0.6594,-0.3378,-1.0522,-0.3853,-0.1488,False,377.6,False
-700,-675,7.0,35.75,-0.4342,0.6865,-0.3699,-1.1507,-0.4181,-0.1645,False,369.6,False
-700,-675,7.25,35.75,-0.4668,0.7028,-0.3986,-1.2388,-0.4465,-0.1792,False,362.7,False
-700,-675,7.5,35.75,-0.4942,0.7134,-0.4231,-1.3134,-0.4694,-0.1924,False,356.8,False
-700,-675,7.75,35.75,-0.5154,0.7221,-0.4424,-1.3721,-0.4856,-0.2039,False,352.0,False
-700,-675,8.0,35.75,-0.53,0.7303,-0.4564,-1.4138,-0.4948,-0.2135,False,348.3,False
-700,-675,8.25,35.75,-0.5381,0.7377,-0.465,-1.4386,-0.4972,-0.2214,False,345.8,False
-700,-675,8.5,35.75,-0.5405,0.7429,-0.4689,-1.449,-0.4937,-0.2278,False,344.5,False
-700,-675,8.75,35.75,-0.5388,0.7447,-0.4692,-1.4486,-0.4861,-0.233,False,344.5,False
-700,-675,9.0,35.75,-0.5349,0.7428,-0.4677,-1.4428,-0.4767,-0.2378,False,345.6,False
-700,-675,9.25,35.75,-0.5314,0.7382,-0.4661,-1.4379,-0.4681,-0.2427,False,341.2,False
-700,-675,9.5,35.75,-0.5307,0.7322,-0.4664,-1.4403,-0.4634,-0.2487,False,325.4,False
-700,-675,9.75,35.75,-0.5352,0.7262,-0.4705,-1.4564,-0.4652,-0.2563,False,310.2,False
-700,-675,10.0,35.75,-0.5469,0.7203,-0.4799,-1.4909,-0.4756,-0.2662,False,295.5,False
-700,-675,10.25,35.75,-0.5669,0.714,-0.4954,-1.547,-0.4962,-0.2785,False,281.5,False
-700,-675,10.5,35.75,-0.5955,0.7056,-0.5172,-1.6255,-0.5273,-0.2935,False,267.9,False
-700,-675,10.75,35.75,-0.6321,0.6938,-0.5446,-1.7244,-0.5683,-0.3108,False,254.8,False
-700,-675,11.0,35.75,-0.6747,0.678,-0.5762,-1.8392,-0.6173,-0.3299,False,242.7,False
-700,-675,11.25,35.75,-0.7209,0.6586,-0.6097,-1.9632,-0.6715,-0.3498,False,231.8,False
-700,-675,11.5,35.75,-0.7673,0.6372,-0.6425,-2.0876,-0.7275,-0.3696,False,222.2,False
-700,-675,11.75,35.75,-0.8103,0.6156,-0.6716,-2.2029,-0.7811,-0.3881,False,214.1,False
-700,-675,12.0,35.75,-0.8459,0.5956,-0.6939,-2.2996,-0.8284,-0.4042,False,207.1,False
-700,-675,12.25,35.75,-0.8711,0.5776,-0.7068,-2.3688,-0.8658,-0.4166,False,196.1,False
-700,-675,12.5,35.75,-0.883,0.5612,-0.708,-2.4038,-0.8902,-0.4247,False,185.5,False
-700,-675,12.75,35.75,-0.88,0.545,-0.6962,-2.4002,-0.8999,-0.4278,False,175.2,True
-700,-675,13.0,35.75,-0.8617,0.5281,-0.6712,-2.3566,-0.8942,-0.4258,False,166.0,False
-700,-675,13.25,35.75,-0.8287,0.5101,-0.6335,-2.275,-0.8738,-0.4188,False,153.5,False
-700,-675,13.5,35.75,-0.7831,0.4916,-0.5848,-2.1605,-0.8408,-0.4073,False,140.7,False
-700,-675,13.75,35.75,-0.7279,0.4741,-0.5275,-2.0206,-0.7981,-0.3923,False,129.9,False
-700,-675,14.0,35.75,-0.6666,0.4591,-0.4648,-1.8649,-0.7497,-0.3748,False,121.3,False
