hoard_id,label,longitude,latitude,closing_year,bin_start_year,bin_end_year,weight
PET,Petacciato (Italy; PET),14.86026,42.00827,-141.0,-175,-150,0.04
PET,Petacciato (Italy; PET),14.86026,42.00827,-141.0,-150,-125,0.96
PIC,Potenza Picena (Italy; PIC),13.62249,43.36635,-74.0,-100,-75,0.36
PIC,Potenza Picena (Italy; PIC),13.62249,43.36635,-74.0,-75,-50,0.64
PIE,Piedimonte d'Alife (Italy; PIE),14.36667,41.35,-42.0,-75,-50,0.08
PIE,Piedimonte d'Alife (Italy; PIE),14.36667,41.35,-42.0,-50,-25,0.92
FER,Ferentino (Italy; FER),13.2562,41.69119,-81.0,-100,-75,0.64
FER,Ferentino (Italy; FER),13.2562,41.69119,-81.0,-75,-50,0.36
PIS,Vico Pisano (Italy; PIS),10.58359,43.69305,4.0,-25,0,0.24
FIE,Fiesole (Italy; FIE),11.29487,43.80455,-89.0,-100,-75,0.96
FIE,Fiesole (Italy; FIE),11.29487,43.80455,-89.0,-75,-50,0.04
PL1,Palestrina (Italy; PL1),12.88178,41.83274,-80.0,-100,-75,0.6
PL1,Palestrina (Italy; PL1),12.88178,41.83274,-80.0,-75,-50,0.4
PL2,Palestrina (Italy; PL2),12.88178,41.83274,-74.0,-100,-75,0.36
PL2,Palestrina (Italy; PL2),12.88178,41.83274,-74.0,-75,-50,0.64
FIR,Firenze (Italy; FIR),11.24626,43.77925,-43.0,-75,-50,0.12
FIR,Firenze (Italy; FIR),11.24626,43.77925,-43.0,-50,-25,0.88
PLC,Policoro (Italy; PLC),16.67795,40.2128,-72.0,-100,-75,0.28
PLC,Policoro (Italy; PLC),16.67795,40.2128,-72.0,-75,-50,0.72
PLI,Policoro (Italy; PLI),16.67795,40.2128,-45.0,-75,-50,0.2
PLI,Policoro (Italy; PLI),16.67795,40.2128,-45.0,-50,-25,0.8
FOS,Fossombrone (Italy; FOS),12.81173,43.69017,-121.0,-150,-125,0.24
FOS,Fossombrone (Italy; FOS),12.81173,43.69017,-121.0,-125,-100,0.76
FRA,Fragagnano (Italy; FRA),17.47553,40.4302,-79.0,-100,-75,0.56
FRA,Fragagnano (Italy; FRA),17.47553,40.4302,-79.0,-75,-50,0.44
PON,Pontecorvo (Italy; PON),13.66618,41.45861,-74.0,-100,-75,0.36
PON,Pontecorvo (Italy; PON),13.66618,41.45861,-74.0,-75,-50,0.64
FSL,Fossalta (Portogruaro) (Italy; FSL),12.90998,45.79329,-82.0,-100,-75,0.68
FSL,Fossalta (Portogruaro) (Italy; FSL),12.90998,45.79329,-82.0,-75,-50,0.32
POT,Potenza (Italy; POT),15.80794,40.64175,-43.0,-75,-50,0.12
POT,Potenza (Italy; POT),15.80794,40.64175,-43.0,-50,-25,0.88
FUS,Fuscaldo (Italy; FUS),16.02839,39.41421,-90.0,-100,-75,1.0
PQU,Pieve-Quinta (Italy; PQU),12.15277,44.23819,-42.0,-75,-50,0.08
PQU,Pieve-Quinta (Italy; PQU),12.15277,44.23819,-42.0,-50,-25,0.92
GAL,Gallignano (Italy; GAL),9.83761,45.43768,-4.0,-25,0,0.56
PRC,Monte Porcaro (Italy; PRC),13.16141,41.89902,-48.0,-75,-50,0.32
PRC,Monte Porcaro (Italy; PRC),13.16141,41.89902,-48.0,-50,-25,0.68
ADM,Alba di Massa (Italy; ADM),13.39429,42.10723,-77.0,-100,-75,0.48
ADM,Alba di Massa (Italy; ADM),13.39429,42.10723,-77.0,-75,-50,0.52
GDM,Gioia dei Marsi (Italy; GDM),13.69057,41.95697,-97.0,-125,-100,0.28
GDM,Gioia dei Marsi (Italy; GDM),13.69057,41.95697,-97.0,-100,-75,0.72
GER,Gerenzago (Italy; GER),9.36137,45.20633,-118.0,-150,-125,0.12
GER,Gerenzago (Italy; GER),9.36137,45.20633,-118.0,-125,-100,0.88
AGG,Aggius (Sardinia; AGG),9.06517,40.92995,4.0,-25,0,0.24
PTA,Patrica (Italy; PTA),13.24363,41.59085,-119.0,-150,-125,0.16
PTA,Patrica (Italy; PTA),13.24363,41.59085,-119.0,-125,-100,0.84
AGN,Agnona (Italy; AGN),8.25957,45.72602,-41.0,-75,-50,0.04
AGN,Agnona (Italy; AGN),8.25957,45.72602,-41.0,-50,-25,0.96
GOT,Gottolengo (Italy; GOT),10.26855,45.29278,-49.0,-75,-50,0.36
