stamp_id,site,province_label,longitude,latitude,amphora_type,stamp_code,chronology_in_default_model,range_start_year,range_end_year
4661,Este,Italia,11.65,45.233333,Lamboglia 2,H,1,-125,-25
23158,Tortona,Italia,8.866667,44.9,Dressel 6B,APICI,1,-50,-1
35753,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
35987,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,CNPETROSOSTR,1,-125,-25
40070,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,BATON,1,-125,-25
35033,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DEMETRI,1,-125,-25
37751,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,LANINIVS,1,-125,-25
34261,Provincia di Parma,Italia,10.083333,44.7,Amphora incerta,PRIMIGIINIVS,0,,
19429,Îles Perduto,Corsica et Sardinia,9.305129,41.369872,Dressel 2-4 Catalan,HILARI,1,-30,-1
34656,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
35646,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
9624,Padova,Italia,11.883333,45.416667,Dressel 6A,LTAR,1,-50,-1
33755,Domagnano,Italia,12.466667,43.95,Lamboglia 2,VMBRICLVMBRICI,1,-125,-25
35178,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,HERMAISCI,1,-125,-25
35377,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
39957,Ostia Antica,Italia,12.283333,41.75,Amphora incerta,APM,0,,
34868,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,ARCHELA,1,-125,-25
40236,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,EIKADIO,1,-125,-25
10543,Altino,Italia,12.393333,45.544444,Dressel 6B,PQSCAPVLAE,1,-50,-1
28325,Ostia Antica,Italia,12.283333,41.75,Dressel 20,MAT,0,,
9755,Milano,Italia,9.2,45.466667,Lamboglia 2,DION,1,-125,-25
35339,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
37235,Rosignano Marittimo,Italia,10.466667,43.4,Operculum,MRVFIM,0,,
35037,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DEMETRI,1,-125,-25
34792,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONIDES,1,-125,-25
34548,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APELLAE,1,-125,-25
37572,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
33797,Albinia,Italia,11.25,42.5,Dressel 1,APOL,1,-150,-1
35917,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LMARCISATVR,1,-125,-25
