bin_start_year,bin_end_year,mean_economic_activity,p95_economic_activity,max_economic_activity,mean_settlement_domain,mean_exchange_domain,mean_port_connectivity,mean_production_domain,mean_evidence_diversity,mean_active_city_probability,mean_active_port_probability
-700,-675,0.07815269311439783,0.24705434498977727,0.42709855217974624,0.07733202520782656,0.0,0.21676640885437942,0.014807135445256983,0.26578631452581036,14.833333333333334,153.35833333333332
-675,-650,0.07921962982324277,0.2529582264843563,0.43928050467794066,0.07906633585353286,0.0,0.21819889344576485,0.014807135445256983,0.2672268907563025,17.15,155.58333333333334
-650,-625,0.08236600689527153,0.2607253764812133,0.46271248229193573,0.08564071910927377,0.0,0.21913841648049165,0.014807135445256983,0.28171268507402963,24.1875,156.97916666666666
-625,-600,0.08710231390607891,0.2763726821820206,0.482908152300375,0.09545347644431892,0.0,0.2207412475306769,0.014807135445256983,0.29179671868747503,31.0625,158.875
-600,-575,0.09779133807676765,0.30320144959035417,0.7002172737884776,0.0999164855325139,0.02016582038620499,0.2288544122598233,0.014807135445256983,0.3150860344137655,39.475,168.5625
-575,-550,0.09345330449341843,0.2960270520213606,0.5099643085030239,0.10003869292128992,0.00344020881546031,0.23615909796713425,0.014807135445256983,0.31124449779911967,48.333333333333336,177.97916666666666
-550,-525,0.09307213438790765,0.30013366393682744,0.5223589976815081,0.0965099438189251,0.00344020881546031,0.24219293291990124,0.014807135445256983,0.3114845938375351,56.385416666666664,186.33333333333334
-525,-500,0.0978348928910836,0.33302272433203534,0.5626901397163917,0.09736533143586684,0.012356575939288498,0.2484784608309627,0.014807135445256983,0.3240496198479392,62.90625,195.75
-500,-475,0.10545543750248139,0.3596864532986474,0.682277134228569,0.09934362454011167,0.028491902298493174,0.2538932032747927,0.014807135445256983,0.33813525410164064,67.53125,204.25
-475,-450,0.10608110550498509,0.3662532721674849,0.5682514500370435,0.10899616641507849,0.017324078705772895,0.25484701535589616,0.014807135445256983,0.34461784713885557,88.42708333333333,206.375
-450,-425,0.11119830052432159,0.3825061990859197,0.5822530693192366,0.12012251892009344,0.017324078705772895,0.25539869731629516,0.014807135445256983,0.34893957583033214,122.775,207.775
-425,-400,0.11808503073857998,0.4103166088591273,0.8124810873930504,0.12969715240550792,0.02433632728585536,0.2560179880302601,0.014807135445256983,0.35470188075230097,157.19166666666666,208.875
-400,-375,0.11927170830366257,0.4078856413970694,0.6142385486608609,0.1403030131827267,0.012892508616819167,0.2581148717777442,0.014807135445256983,0.32446311858076565,195.13333333333335,212.04166666666666
-375,-350,0.12265007609781953,0.39989436842380255,0.6295985877813102,0.14168017714308806,0.012892508616819167,0.2719080918377161,0.014807135445256983,0.3250633586768041,229.79166666666666,232.66666666666666
-350,-325,0.12307514624777559,0.4036610614844881,0.6434845278358842,0.1372228677148194,0.012892508616819167,0.2840623888011007,0.014807135445256983,0.3200613578764839,264.45,252.66666666666666
-325,-300,0.12985131332385857,0.44388431385697497,0.6489566904222387,0.14144812153118472,0.020473508880906703,0.29516965263254047,0.04761431835714974,0.33813525410164064,282.025,272.7083333333333
-300,-275,0.13881314234328426,0.4631567927943273,0.6554121840628433,0.1443476050483078,0.03639668848267172,0.30558939551305325,0.04761431835714974,0.35314125650260103,283.3125,293.69166666666666
-275,-250,0.13890986858499138,0.46759248059330777,0.660119623571547,0.1479757597051488,0.028067565193400205,0.3124856444999216,0.04761431835714974,0.3524076297185541,284.7125,308.2916666666667
-250,-225,0.1382737198435374,0.45667738818831005,0.6603292023857648,0.14751844506600528,0.026742382968132947,0.3126529276249423,0.04761431835714974,0.3574763238628785,285.84375,308.7083333333333
-225,-200,0.13640744562375876,0.43976163581464567,0.6603273095846421,0.14678222820722217,0.02209494087029374,0.31311106812952977,0.04761431835714974,0.35494197679071626,290.76875,309.2916666666667
-200,-175,0.14850296438582125,0.49175008115926744,0.7122052714113485,0.14447181325933184,0.05933317974243346,0.31362017754635113,0.04761431835714974,0.3727490996398559,299.58125,309.73333333333335
-175,-150,0.14330569740455262,0.4683817989824765,0.7100513016348299,0.14703957015056768,0.04026575680569974,0.31522437977401113,0.04761431835714974,0.36067760437508334,316.0104166666667,311.0
-150,-125,0.15417675598533917,0.501870815565507,0.8958558264891417,0.14667218712282876,0.07179827378646851,0.31522437977401113,0.04761431835714974,0.4021608643457383,319.77708333333334,311.0
-125,-100,0.17701405889724528,0.5546815966409667,0.861259044307971,0.14957418455966515,0.13291338795667065,0.31592995030280613,0.04761431835714974,0.4403761504601841,328.2375,312.1666666666667
-100,-75,0.18772538463583385,0.5955268914287208,0.8354468833460649,0.151417082402623,0.1535567439160607,0.3292141859201612,0.04761431835714974,0.459250366813392,334.025,337.57916666666665
-75,-50,0.18654731642202677,0.5952320122371159,0.8681786085244283,0.15507963453994797,0.1361780387558721,0.34549583657247473,0.04761431835714974,0.4533146591970121,344.475,374.51666666666665
-50,-25,0.2045894433000481,0.640708475391609,0.9102000538642858,0.1624186565099582,0.17026353207265726,0.35954405822568414,0.04761431835714974,0.4614512471655328,356.5875,412.5125
-25,0,0.21821550703527076,0.6621834034251525,0.9166517255030766,0.16615811674225386,0.19725491056328193,0.3720256790205393,0.04761431835714974,0.4643857543017207,366.8625,450.1458333333333
