loc_id,site_id,country,sea_area,sitename,locname,depth_m,wreckage_after,wreckage_before,dated,in_window,latitude,longitude,coord_source,has_coords
1250,881,Italy,Tyrrhenian Sea,Capraia,Capraia Etruscan 2004,-35.0,-600.0,-300.0,True,True,43.07225,9.82366,oxrep_popup,True
1254,1481,Italy,Tyrrhenian Sea,Salerno,Salerno,,,,False,False,,,,False
1291,1820,Italy,Tyrrhenian Sea,Albenga,Albenga,-42.0,-100.0,-80.0,True,True,44.04255,8.22876,oxrep_popup,True
1348,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia medieval,0.0,1000.0,1500.0,False,False,,,,False
1441,1567,Italy,Tyrrhenian Sea,Sinuessa,Sinuessa B,,-50.0,-1.0,True,True,,,,False
1502,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino D,,200.0,400.0,True,False,,,,False
1516,1551,Italy,Tyrrhenian Sea,Ladispoli,Ladispoli A,-12.0,1.0,15.0,True,False,,,,False
1522,1746,Italy,Tyrrhenian Sea,Pisa,Pisa D,0.0,400.0,600.0,True,False,,,,False
1528,1115,Italy,Tyrrhenian Sea,Agropoli,Agropoli,,-150.0,400.0,True,True,40.333333333333336,14.966666666666669,v01_geocoded,True
1599,725,Italy,Tyrrhenian Sea,Cefalu,Cefalu,,400.0,600.0,True,False,,,,False
1631,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino L,,42.0,66.0,True,False,,,,False
1662,1236,Italy,Tyrrhenian Sea,Porto Ercole,Porto Ercole A,,-150.0,-100.0,True,True,42.38333333333333,11.2,v01_geocoded,True
1665,566,Italy,Tyrrhenian Sea,Secca Del Bagno,Secca Del Bagno,-60.0,-200.0,-180.0,True,True,38.46666666666667,14.883333333333333,v01_geocoded,True
1679,1364,Italy,Tyrrhenian Sea,Circeo,Circeo D,,-25.0,25.0,True,True,,,,False
1691,1364,Italy,Tyrrhenian Sea,Circeo,Circeo E,,200.0,325.0,True,False,,,,False
1693,1192,Italy,Tyrrhenian Sea,Pigne (Salerno),Pigne (Salerno),0.0,1000.0,1500.0,False,False,,,,False
1717,1746,Italy,Tyrrhenian Sea,Pisa,Pisa E,0.0,-30.0,-1.0,True,True,43.72388,10.38813,oxrep_popup,True
1739,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino E,,101.0,300.0,True,False,,,,False
1747,1805,Italy,Tyrrhenian Sea,Maratea,Maratea B,,25.0,260.0,True,False,,,,False
1777,881,Italy,Tyrrhenian Sea,Capraia,Capraia C,,,,False,False,,,,False
1804,1567,Italy,Tyrrhenian Sea,Sinuessa,Sinuessa A,,-300.0,-200.0,True,True,,,,False
1828,1840,Italy,Tyrrhenian Sea,La Maddalena,La Maddalena,,200.0,300.0,True,False,,,,False
1842,2013,Italy,Tyrrhenian Sea,Santa Maria,Santa Maria,,200.0,300.0,True,False,,,,False
1860,414,Italy,Tyrrhenian Sea,Elba,Elba,-200.0,25.0,75.0,True,False,,,,False
1866,1364,Italy,Tyrrhenian Sea,Circeo,Circeo C,,-150.0,-1.0,True,True,,,,False
1884,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino C,,300.0,400.0,True,False,,,,False
1886,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino J,,101.0,300.0,True,False,,,,False
1917,1447,Italy,Tyrrhenian Sea,Le Formiche di Grosseto,Le Formiche di Grosseto A,,-150.0,400.0,True,True,,,,False
1932,1444,Italy,Tyrrhenian Sea,Barbarossa,Barbarossa,,-250.0,-150.0,True,True,42.75,10.4,v01_geocoded,True
1933,986,Italy,Tyrrhenian Sea,Cagliari,Cagliari A,,1.0,300.0,True,False,,,,False
1957,1872,Italy,Tyrrhenian Sea,Golfo di Pozzuoli,Golfo di Pozzuoli,0.0,200.0,500.0,True,False,,,,False
1973,1569,Italy,Tyrrhenian Sea,Coscia di Donna,Coscia di Donna,-15.0,75.0,100.0,True,False,,,,False
1981,1658,Italy,Tyrrhenian Sea,Napoli,Napoli C,0.0,1.0,100.0,True,False,,,,False
1982,1820,Italy,Tyrrhenian Sea,Albenga,Albenga II,-50.0,-100.0,-1.0,True,True,44.04255,8.22876,oxrep_popup,True
2051,1364,Italy,Tyrrhenian Sea,Circeo,Circeo B,,-250.0,-150.0,True,True,,,,False
2069,296,Italy,Tyrrhenian Sea,Baia di Salinedda,Baia di Salinedda (San Teodoro),0.0,200.0,400.0,True,False,,,,False
2082,986,Italy,Tyrrhenian Sea,Cagliari,Cagliari B,,200.0,375.0,True,False,,,,False
2099,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia B,,-400.0,-100.0,True,True,40.91148,9.50738,oxrep_popup,True
2105,314,Italy,Tyrrhenian Sea,Herculaneum,Herculaneum I,,79.0,79.0,True,False,,,,False
2129,258,Italy,Tyrrhenian Sea,Ponza,Isole di Ponza,-100.0,1.0,300.0,True,False,,,,False
2142,308,Italy,Tyrrhenian Sea,Panarea,Panarea (Alberti),,50.0,100.0,True,False,,,,False
2209,881,Italy,Tyrrhenian Sea,Capraia,Capraia B,,-150.0,400.0,True,True,43.07225,9.82366,oxrep_popup,True
2240,326,Italy,Tyrrhenian Sea,Meloria,Meloria C,-4.0,1.0,100.0,True,False,,,,False
2263,296,Italy,Tyrrhenian Sea,Baia di Salinedda,Baia di Salinedda,,200.0,300.0,True,False,,,,False
2340,258,Italy,Tyrrhenian Sea,Ponza,Ponza A,,-300.0,-250.0,True,True,40.88,12.97,oxrep_popup,True
2344,308,Italy,Tyrrhenian Sea,Panarea,Panarea (Roghi),,-325.0,-300.0,True,True,38.63,15.07,oxrep_popup,True
2345,314,Italy,Tyrrhenian Sea,Herculaneum,Herculaneum II,0.0,79.0,79.0,True,False,,,,False
2372,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino F,,300.0,400.0,True,False,,,,False
2385,1658,Italy,Tyrrhenian Sea,Napoli,Napoli A,0.0,75.0,100.0,True,False,,,,False
2408,1658,Italy,Tyrrhenian Sea,Napoli,Napoli B,0.0,180.0,220.0,True,False,,,,False
2411,1364,Italy,Tyrrhenian Sea,Circeo,Circeo A,,-550.0,-500.0,True,True,,,,False
2422,881,Italy,Tyrrhenian Sea,Capraia,Capraia A,,-100.0,100.0,True,True,43.07225,9.82366,oxrep_popup,True
2423,1746,Italy,Tyrrhenian Sea,Pisa,Pisa I,0.0,300.0,400.0,True,False,,,,False
2424,1805,Italy,Tyrrhenian Sea,Maratea,Maratea C,,200.0,400.0,True,False,,,,False
2443,1746,Italy,Tyrrhenian Sea,Pisa,Pisa A,0.0,175.0,225.0,True,False,,,,False
2464,801,Italy,Tyrrhenian Sea,Civitavecchia,Civitavecchia,,50.0,150.0,True,False,,,,False
2493,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia (statue),0.0,-150.0,400.0,True,True,40.91148,9.50738,oxrep_popup,True
2520,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino A,,125.0,175.0,True,False,,,,False
2526,1746,Italy,Tyrrhenian Sea,Pisa,Pisa P,0.0,-30.0,30.0,True,True,43.72388,10.38813,oxrep_popup,True
2589,513,Italy,Tyrrhenian Sea,Spargi,Spargi,,-120.0,-100.0,True,True,41.21666666666667,9.333333333333334,v01_geocoded,True
2651,1412,Italy,Tyrrhenian Sea,Fiumicino,Fiumicino K,,42.0,66.0,True,False,,,,False
2679,1421,Italy,Tyrrhenian Sea,Olbia (Sardinia),Olbia Late Roman 1,0.0,425.0,475.0,True,False,,,,False
574,1270,Italy,West Mediterranean Sea,Terrauzza,Terrauzza,,175.0,225.0,True,False,,,,False
