hoard_id,label,findspot,geonames_uri,closing_year,n_coin_types,country,longitude,latitude,findspot_radius_km,dated
BEV,Bevagna (Italy; BEV),"Bevagna, Italy",https://sws.geonames.org/3182096/,-116.0,123,Italy,12.61488,42.93748,5.0,True
SDP,San Dona di Piave (Italy; SDP),"San Dona di Piave, Italy",https://sws.geonames.org/3168429/,,0,Italy,12.5681,45.63019,5.0,False
JES,Jesi (Italy; JES),"Jesi, Italy",https://sws.geonames.org/3175628/,-117.0,44,Italy,13.24368,43.52142,5.0,True
JSI,Jesi (Italy; JSI),"Jesi, Italy",https://sws.geonames.org/3175628/,-45.0,33,Italy,13.24368,43.52142,5.0,True
BIS,Bisacquino (Sicily; BIS),"Bisacquino, Sicily",https://sws.geonames.org/2525552/,,0,Sicily,13.26051,37.70352,5.0,False
SES,Romagnano Sesia (Italy; SES),"Romagnano Sesia, Italy",https://sws.geonames.org/3169064/,-87.0,105,Italy,8.38697,45.63279,5.0,True
BLC,Bellicello (Castelvetrano) (Sicily; BLC),"Bellicello (Castelvetrano), Sicily",https://sws.geonames.org/2525083/,-81.0,28,Sicily,12.79194,37.68081,5.0,True
BLF,Belfiore (Italy; BLF),"Belfiore, Italy",https://sws.geonames.org/3182242/,-127.0,7,Italy,11.21085,45.38189,5.0,True
BLG,Bologna (Italy; BLG),"Bologna, Italy",https://sws.geonames.org/3181928/,-100.0,53,Italy,11.33875,44.49381,5.0,True
SGI,San Giovanni Incarico (Italy; SGI),"San Giovanni Incarico, Italy",https://sws.geonames.org/3168243/,-125.0,63,Italy,13.55864,41.50001,5.0,True
BOI,Boiano (Italy; BOI),"Boiano, Italy",https://sws.geonames.org/3181939/,,0,Italy,14.47075,41.4853,5.0,False
SLZ,San Lazzaro (Italy; SLZ),"San Lazzaro, Italy",https://sws.geonames.org/3168175/,,0,Italy,11.40851,44.4705,5.0,False
BOR,Borzano (Italy; BOR),"Borzano, Italy",https://sws.geonames.org/3181708/,-42.0,227,Italy,10.63675,44.6036,5.0,True
BRA,Brandosa (Italy; BRA),"Brandosa, Italy",https://sws.geonames.org/8468671/,-49.0,177,Italy,12.30924,42.03721,5.0,True
SMT,San Miniato al Tedesco (Italy; SMT),"San Miniato al Tedesco, Italy",https://sws.geonames.org/3167953/,-80.0,165,Italy,10.84975,43.67954,5.0,True
BRE,Brescello (Italy; BRE),"Brescello, Italy",https://sws.geonames.org/3181555/,-39.0,13,Italy,10.51269,44.89531,5.0,True
BRG,Borgonuovo (Italy; BRG),"Borgonuovo, Italy",https://sws.geonames.org/3181776/,-111.0,66,Italy,10.61667,43.85,5.0,True
LAR,Larinium (Italy; LAR),"Larinium, Italy",https://sws.geonames.org/3175105/,,0,Italy,14.91843,41.80449,5.0,False
BRI,Brindisi (Italy; BRI),"Brindisi, Italy",https://sws.geonames.org/3181528/,-34.0,2,Italy,17.93607,40.63215,5.0,True
LCL,Lucoli (Italy; LCL),"Lucoli, Italy",https://sws.geonames.org/6534803/,-124.0,32,Italy,13.33799,42.29093,5.0,True
BRO,Broni (Italy; BRO),"Broni, Italy",https://sws.geonames.org/3181507/,-51.0,68,Italy,9.25993,45.06394,5.0,True
LEG,Legnano (Italy; LEG),"Legnano, Italy",https://sws.geonames.org/3174921/,,0,Italy,8.91506,45.59788,5.0,False
