bin_start_year,bin_end_year,port_id,name,longitude,latitude,foundation_year,start_uncertainty_halfwidth_years,active_probability
-700,-675,1021,"Poseïdonia, Posidonia, Paestum, on R Silarus",14.992,40.415,-750.0,60.0,1.0
-700,-675,1025,Palinurus ,15.282234,40.035658,-750.0,60.0,1.0
-700,-675,1026,"Oenotrides insulae, Molpa ",15.294659,40.026788,-750.0,60.0,1.0
-700,-675,1032,,15.781146,39.81781,-750.0,60.0,1.0
-700,-675,1033,"Laos, Laus ",15.789572,39.775272,-750.0,60.0,1.0
-700,-675,1039,"Temesa, Temese, Tempsa, on R Sabutus",16.094554,39.027944,-750.0,60.0,1.0
-700,-675,1047.3,,15.9718,38.7135,-1500.0,100.0,1.0
-700,-675,1049,,15.921,38.545,-750.0,60.0,1.0
-700,-675,1052,"Medma, Mesma",15.9882,38.4821,-750.0,60.0,1.0
-700,-675,1053,"Port at the outlet of R Metaurus, Metaure ",15.871137,38.421553,-750.0,60.0,1.0
-700,-675,1058,"Scyllaeum, Scylla, in front of Charybdis in Sicily, both Planktes insulae, where Odysseus possibly sailed",15.715,38.259,-750.0,60.0,1.0
-700,-675,1061,"Rhegium, Rhegion",15.634658,38.109425,-740.0,20.0,1.0
-700,-675,1069,"Lokroi Epizephyrioi, Locri Epizefiri, Locres ",16.2368,38.2077,-750.0,60.0,1.0
-700,-675,1071,"Amphissa, Santo Onofrio ",16.413143,38.318166,-750.0,60.0,1.0
-700,-675,1072,"Kaulonia, Caulonia, Aulonia, Stilida",16.5787,38.4454,-750.0,60.0,1.0
-700,-675,1080,,17.16869,38.95411,-750.0,60.0,1.0
-700,-675,1082,"Kroton, Crotone, on R Aisaros",17.126348,39.085539,-750.0,60.0,1.0
-700,-675,1084,Krimisa?,17.140861,39.370149,-750.0,60.0,1.0
-700,-675,1085,"Temple of Apollo Alaeus, port of Aesarus ",17.1466,39.39654,-750.0,60.0,1.0
-700,-675,1090,"archaic Sybaris, on R Sybaris and R Crathis, Thourioi, Thurii, Copia",16.491191,39.717044,-720.0,20.0,1.0
-700,-675,1091,,16.538059,39.865106,-1500.0,100.0,1.0
-700,-675,1097,"Siris, on R Siris",16.6682,40.1658,-750.0,60.0,1.0
-700,-675,1098.0999999999999,,16.6642,40.2934,-1500.0,100.0,1.0
-700,-675,1099,"Metapontum, Metaponte",16.8352,40.3728,-750.0,60.0,1.0
-700,-675,1100,"Tarentum, Taras, Neptuna",17.228144,40.472032,-750.0,60.0,1.0
-700,-675,1103,"Satyrion, Saturnum ",17.30396,40.37282,-1500.0,100.0,1.0
-700,-675,1105,Port Sasina ,17.896215,40.25706,-750.0,60.0,1.0
-700,-675,1106,Port of Neretum,17.983673,40.137046,-750.0,60.0,1.0
-700,-675,1107,"Kallipolis, Callipolis, Anxa ",17.979931,40.054413,-750.0,60.0,1.0
-700,-675,1110,"Portus Sallentinus, Leuke, near Iapygia Prom.",18.362675,39.792157,-750.0,60.0,1.0
-700,-675,1112,"Zancle, Zankle, Messana, Messene",15.560811,38.192865,-730.0,20.0,1.0
-700,-675,1113,,15.536584,38.145129,-750.0,60.0,1.0
-700,-675,1118,"Archaic Naxos, near R Akesines",15.2694,37.8193,-734.0,10.0,1.0
-700,-675,1123,"Katane, Catina ",15.0873,37.5024,-750.0,60.0,1.0
-700,-675,1123.2,"Leontinoi, on R Terias",14.998,37.2855,-750.0,60.0,1.0
-700,-675,1124,,15.132834,37.310011,-750.0,60.0,1.0
-700,-675,1126,"Megara Hyblaea, on R Alabon",15.183741,37.205772,-750.0,60.0,1.0
-700,-675,1127,"Tapsus, Thapsos ",15.228473,37.145257,-1200.0,100.0,1.0
-700,-675,1128,"Leon, landing place of Athenian fleet in 414 BC",15.2615,37.1076,-4000.0,100.0,1.0
-700,-675,1132,"Syracuse, ""Large Port"", on the isle of Sikelia, Sicania, Trinacria, major Greek (Corinthian) settlement in Sicily",15.288,37.06,-733.0,10.0,1.0
-700,-675,1138,Portus Naustathamus?,15.214525,36.95611,-750.0,60.0,1.0
-700,-675,1140,"Helorus, Elorus, on R Helorus",15.1075,36.8422,-750.0,60.0,1.0
-700,-675,1146,R Hirminum,14.594,36.771,-750.0,60.0,1.0
-700,-675,1152,"Gela, on R Gela",14.2583,37.063,-688.0,10.0,0.525
-700,-675,1154,,14.197,37.0842,-750.0,60.0,1.0
-700,-675,1155,"Port of Maktorion, Mactorium?",14.138661,37.100201,-750.0,60.0,1.0
-700,-675,1158,,13.881,37.102,-750.0,60.0,1.0
-700,-675,1160,,13.780019,37.144488,-750.0,60.0,1.0
-700,-675,1162.0999999999999,,13.624,37.233,-1400.0,100.0,1.0
-700,-675,1166,"Heraclea Minoa, on R Halycus",13.28,37.3937,-750.0,60.0,1.0
-700,-675,1167,,13.256671,37.414943,-750.0,60.0,1.0
