site,province_label,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,range_start_year,range_end_year
Due Maestà,Italia,11.0,44.75,Dressel 6A,1,0.6931471805599453,-50,-1
Dugenta,Italia,14.45,41.133333,Dressel 1,1,0.6931471805599453,-150,-1
Dugenta,Italia,14.45,41.133333,Dressel 1A,1,0.6931471805599453,-150,-1
Entella,Italia,9.333333,44.316667,Dressel 1,1,0.6931471805599453,-150,-1
Entella,Italia,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,-400,-100
Erice,Sicilia,12.583333,38.033333,Dressel 1,8,2.1972245773362196,-150,-1
Erice,Sicilia,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,-400,-100
Este,Italia,11.65,45.233333,Dressel 6A,13,2.639057329615259,-50,-1
Este,Italia,11.65,45.233333,Dressel 6B,20,3.044522437723423,-50,-1
Este,Italia,11.65,45.233333,Lamboglia 2,13,2.639057329615259,-125,-25
Fermo,Italia,13.716667,43.15,Dressel 6A,2,1.0986122886681096,-50,-1
Fermo,Italia,13.716667,43.15,Lamboglia 2,1,0.6931471805599453,-125,-25
Ficarolo,Italia,11.433333,44.95,Dressel 6B,1,0.6931471805599453,-50,-1
Fiesole,Italia,11.283333,43.8,Dressel 1A,1,0.6931471805599453,-150,-1
Finale Emilia,Italia,11.283333,44.833333,Dressel 2-4,1,0.6931471805599453,-30,-1
Finale Emilia,Italia,11.283333,44.833333,Dressel 6A,1,0.6931471805599453,-50,-1
Finale Emilia,Italia,11.283333,44.833333,Dressel 6B,2,1.0986122886681096,-50,-1
Finale Emilia,Italia,11.283333,44.833333,Lamboglia 2,1,0.6931471805599453,-125,-25
Fiorano Modenese,Italia,10.816667,44.533333,Dressel 6A,1,0.6931471805599453,-50,-1
Fiorano Modenese,Italia,10.816667,44.533333,Lamboglia 2,1,0.6931471805599453,-125,-25
Gavello,Italia,11.916667,45.016667,Dressel 6A,2,1.0986122886681096,-50,-1
Gavello,Italia,11.916667,45.016667,Dressel 6B,1,0.6931471805599453,-50,-1
Herculanum,Italia,14.333333,40.8,Dressel 2-4 Catalan,1,0.6931471805599453,-30,-1
Imperia,Italia,8.05,43.883333,Dressel 2-4 Catalan,21,3.091042453358316,-30,-1
Islas de Tremiti,Italia,15.5,42.116667,Lamboglia 2,5,1.791759469228055,-125,-25
Ivrea,Italia,7.866667,45.466667,Dressel 1,1,0.6931471805599453,-150,-1
Ivrea,Italia,7.866667,45.466667,Lamboglia 2,2,1.0986122886681096,-125,-25
La Torre,Italia,12.066667,44.016667,Lamboglia 2,1,0.6931471805599453,-125,-25
Lecce,Italia,18.183333,40.383333,Brindisian amphora,5,1.791759469228055,-125,-25
Licata,Sicilia,13.933333,37.1,Greco-Itálica,1,0.6931471805599453,-400,-100
Lilibeo,Sicilia,12.416667,37.8,Brindisian amphora,1,0.6931471805599453,-125,-25
Lilibeo,Sicilia,12.416667,37.8,Dressel 1,2,1.0986122886681096,-150,-1
Lilibeo,Sicilia,12.416667,37.8,Greco-Itálica,9,2.302585092994046,-400,-100
Ljubljana (Emona),Italia,14.514444,46.055278,Dressel 6B,24,3.2188758248682006,-50,-1
Lodi Vecchio,Italia,9.4,45.3,Dressel 6A,1,0.6931471805599453,-50,-1
Lodi Vecchio,Italia,9.4,45.3,Dressel 6B,9,2.302585092994046,-50,-1
Lucania,Italia,16.0,40.5,Dressel 2-4,2,1.0986122886681096,-30,-1
Lucera,Italia,15.333333,41.5,Dressel 6A,1,0.6931471805599453,-50,-1
Maranello,Italia,10.866667,44.533333,Lamboglia 2,1,0.6931471805599453,-125,-25
Marano Lagunare,Italia,13.169167,45.766389,Dressel 6B,2,1.0986122886681096,-50,-1
Marano Lagunare,Italia,13.169167,45.766389,Lamboglia 2,3,1.3862943611198906,-125,-25
Margherita di Savoia,Italia,16.15,41.366667,Lamboglia 2,1,0.6931471805599453,-125,-25
Messina,Sicilia,15.566667,38.183333,Brindisian amphora,1,0.6931471805599453,-125,-25
Milano,Italia,9.2,45.466667,Dressel 6A,1,0.6931471805599453,-50,-1
Milano,Italia,9.2,45.466667,Lamboglia 2,84,4.442651256490317,-125,-25
Minturno,Italia,13.75,41.25,Dressel 1B,1,0.6931471805599453,-150,-1
Mirandola,Italia,11.066667,44.883333,Dressel 6A,1,0.6931471805599453,-50,-1
Modena,Italia,10.9,44.5,Dressel 6A,2,1.0986122886681096,-50,-1
Modena,Italia,10.9,44.5,Lamboglia 2,1,0.6931471805599453,-125,-25
Modena,Italia,10.916667,44.666667,Dressel 1B,1,0.6931471805599453,-150,-1
Modena,Italia,10.916667,44.666667,Dressel 2-4,2,1.0986122886681096,-30,-1
Modena,Italia,10.916667,44.666667,Dressel 6A,3,1.3862943611198906,-50,-1
Modena,Italia,10.916667,44.666667,Dressel 6B,4,1.6094379124341003,-50,-1
Modena,Italia,10.916667,44.666667,Lamboglia 2,8,2.1972245773362196,-125,-25
Modena,Italia,13.033333,45.833333,Dressel 6A,1,0.6931471805599453,-50,-1
Modena,Italia,13.033333,45.833333,Dressel 6B,1,0.6931471805599453,-50,-1
Mondragone,Italia,13.883333,41.116667,Dressel 1B,1,0.6931471805599453,-150,-1
Monopoli,Italia,17.3,40.95,Brindisian amphora,1,0.6931471805599453,-125,-25
Monte Pallano,Italia,14.383333,42.033333,Brindisian amphora,2,1.0986122886681096,-125,-25
Narni,Italia,12.516667,42.516667,Brindisian amphora,1,0.6931471805599453,-125,-25
Narni,Italia,12.516667,42.516667,Dressel 1A,1,0.6931471805599453,-150,-1
Narni,Italia,12.516667,42.516667,Greco-Itálica,1,0.6931471805599453,-400,-100
Oderzo,Italia,12.488056,45.78,Dressel 2-4,1,0.6931471805599453,-30,-1
Oderzo,Italia,12.488056,45.78,Dressel 6A,18,2.9444389791664403,-50,-1
Oderzo,Italia,12.488056,45.78,Dressel 6B,131,4.882801922586371,-50,-1
Orbetello,Italia,11.216667,42.45,Dressel 1B,1,0.6931471805599453,-150,-1
Ordona,Italia,15.616667,41.316667,Dressel 6A,1,0.6931471805599453,-50,-1
Ordona,Italia,15.616667,41.316667,Dressel 6B,1,0.6931471805599453,-50,-1
Ordona,Italia,15.616667,41.316667,Lamboglia 2,4,1.6094379124341003,-125,-25
Ostia Antica,Italia,12.283333,41.75,Dressel 2-4,1,0.6931471805599453,-30,-1
Ostia Antica,Italia,12.283333,41.75,Dressel 2-4 Catalan,4,1.6094379124341003,-30,-1
Ostia Antica,Italia,12.283333,41.75,Greco-Itálica,1,0.6931471805599453,-400,-100
Ostia Antica,Italia,12.283333,41.75,Lamboglia 2,1,0.6931471805599453,-125,-25
Ostiglia,Italia,11.133333,45.066667,Dressel 6A,5,1.791759469228055,-50,-1
Ostiglia,Italia,11.133333,45.066667,Dressel 6B,6,1.9459101490553132,-50,-1
Padova,Italia,11.883333,45.416667,Brindisian amphora,1,0.6931471805599453,-125,-25
Padova,Italia,11.883333,45.416667,Dressel 2-4,5,1.791759469228055,-30,-1
Padova,Italia,11.883333,45.416667,Dressel 6A,68,4.23410650459726,-50,-1
Padova,Italia,11.883333,45.416667,Dressel 6B,276,5.6240175061873385,-50,-1
Padova,Italia,11.883333,45.416667,Lamboglia 2,19,2.995732273553991,-125,-25
Palermo,Sicilia,13.366667,38.116667,Greco-Itálica,1,0.6931471805599453,-400,-100
Parenzo (Porec),Italia,13.593889,45.225833,Dressel 6B,1,0.6931471805599453,-50,-1
Parma,Italia,10.333333,44.8,Brindisian amphora,1,0.6931471805599453,-125,-25
Pavia,Italia,9.166667,45.166667,Lamboglia 2,1,0.6931471805599453,-125,-25
Pegognaga,Italia,10.85,45.0,Dressel 1B,2,1.0986122886681096,-150,-1
Pegognaga,Italia,10.85,45.0,Dressel 2-4,2,1.0986122886681096,-30,-1
Pegognaga,Italia,10.85,45.0,Dressel 6A,8,2.1972245773362196,-50,-1
Pegognaga,Italia,10.85,45.0,Dressel 6B,13,2.639057329615259,-50,-1
Pegognaga,Italia,10.85,45.0,Lamboglia 2,2,1.0986122886681096,-125,-25
Piadena,Italia,10.366667,45.133333,Lamboglia 2,5,1.791759469228055,-125,-25
Pisa,Italia,10.383333,43.716667,Dressel 6A,2,1.0986122886681096,-50,-1
Pisa,Italia,10.383333,43.716667,Lamboglia 2,1,0.6931471805599453,-125,-25
Pisa,Italia,10.716667,43.416667,Brindisian amphora,1,0.6931471805599453,-125,-25
Poggio Rusco,Italia,11.116667,44.983333,Dressel 6B,1,0.6931471805599453,-50,-1
Pompeya,Italia,14.483333,40.75,Brindisian amphora,2,1.0986122886681096,-125,-25
Pompeya,Italia,14.483333,40.75,Pascual 1,2,1.0986122886681096,-50,-1
