ID_Internal,Reference,Region,Groundedness,Specified.Location,Pleiades,Latitude,Longitude,Date.Start,Date.End,Date.Start.Orig,Date.End.Orig,Object.Type,Inscription.Use,Alphabet,Alphabet.Direction,Language,Notes,Script
22052,EDCS-64900332,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-200,-101,-200,-101,,,5,,Latin,,
22053,EDCS-64900333,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-150,-101,-130,-101,,,5,,Latin,,
22049,EDCS-64900335,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-100,-1,-100,-1,,,5,,Latin,,
17422,EDCS-64900342,Latium,,Castiglione / Gabii,1,41.887373,12.719727,-150,-51,-130,-71,,,5,,Latin,,
17172,EDCS-64900361,Campania,,Calvi Vecchia / Cales,1,41.199961,14.1321245,-50,-1,-40,-1,,,5,,Latin,,
20725,EDCS-64900368,Picenum,,Castiglione Messer Raimondo / Pinna Vestina,0,42.5319147,13.8815453,-100,-1,-100,-1,,,5,,Latin,,
15009,EDCS-64900385,Apulia,,Benevento / Beneventum,1,41.130437,14.781161,-50,-1,-50,-1,,,5,,Latin,,
21636,EDCS-64900400,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-575,-526,-570,-531,,,6,,Latin,,
21733,EDCS-64900404,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-250,-201,-230,-201,,,5,,Latin,,
21633,EDCS-64900412,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
21634,EDCS-64900415,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-550,-451,-530,-471,,,6,,Latin,,
21631,EDCS-64900416,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-500,-401,-500,-401,,,6,,Latin,,
21632,EDCS-64900417,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
21628,EDCS-64900418,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
21629,EDCS-64900419,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-500,-401,-500,-401,,,6,,Latin,,
21630,EDCS-64900420,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-500,-401,-500,-401,,,6,,Latin,,
21624,EDCS-64900423,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-575,-526,-570,-531,,,6,,Latin,,
21625,EDCS-64900424,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-475,-426,-470,-431,,,6,,Latin,,
21626,EDCS-64900425,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-500,-451,-500,-451,,,6,,Latin,,
21623,EDCS-64900426,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-575,-526,-570,-531,,,6,,Latin,,
21622,EDCS-64900427,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
21621,EDCS-64900428,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-551,-600,-551,,,6,,Latin,,
21620,EDCS-64900429,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-650,-551,-630,-571,,,6,,Latin,,
21619,EDCS-64900430,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
